date,suspeitos,confirmados,descartados,total,mortes
2020/03/16,37,0,9,46,0
2020/03/17,37,0,9,46,0
2020/03/18,43,0,19,62,0
2020/03/19,65,0,38,103,0
2020/03/20,101,4,56,161,0
2020/03/21,129,4,62,195,0
2020/03/22,117,6,92,215,0
2020/03/23,148,6,115,269,0
2020/03/24,160,8,134,302,0
2020/03/25,167,8,173,348,0
2020/03/26,190,9,192,391,0
2020/03/27,203,9,212,424,0
2020/03/28,199,11,221,0,1
2020/03/29,213,16,317,0,3
2020/03/30,231,18,360,0,4
2020/03/31,254,18,406,0,4
2020/04/01,256,19,451,0,4
2020/04/02,268,19,500,0,4
2020/04/03,288,22,544,0,4